cod_ccaa,ccaa_iso,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13,2020-09-14,2020-09-15,2020-09-16,2020-09-17,2020-09-18,2020-09-19,2020-09-20,2020-09-21,2020-09-22,2020-09-23,2020-09-24,2020-09-25,2020-09-26,2020-09-27,2020-09-28,2020-09-29,2020-09-30,2020-10-01,2020-10-02,2020-10-03,2020-10-04,2020-10-05,2020-10-06,2020-10-07,2020-10-08,2020-10-09,2020-10-10,2020-10-11,2020-10-12,2020-10-13,2020-10-14,2020-10-15,2020-10-16,2020-10-17,2020-10-18,2020-10-19,2020-10-20,2020-10-21,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-14,2020-11-15,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23,2020-11-24,2020-11-25,2020-11-26,2020-11-27,2020-11-28,2020-11-29,2020-11-30,2020-12-01
01,AN,0,2,2,1,1,1,2,2,0,1,1,1,1,2,1,4,0,2,3,1,8,5,2,2,5,9,9,11,8,9,34,33,42,34,61,73,77,87,169,221,263,318,487,420,450,573,574,530,556,795,544,523,562,492,522,472,423,324,340,341,254,356,263,202,317,277,187,266,252,137,218,162,129,112,210,216,175,141,135,74,78,154,134,168,169,57,36,46,130,162,119,100,95,27,49,73,26,24,17,12,5,22,21,16,14,16,9,5,11,11,13,9,6,7,3,8,8,11,7,12,13,9,19,6,16,5,12,5,2,6,7,6,3,4,4,4,7,9,10,25,11,15,10,17,13,96,22,19,15,27,22,26,23,14,28,25,16,23,32,56,37,60,50,33,48,95,64,91,97,86,114,122,74,78,126,128,110,106,143,148,152,209,260,249,214,292,285,367,373,456,376,327,465,519,592,637,725,635,584,746,821,750,849,916,818,770,874,920,1028,1048,1061,904,811,997,1170,1057,1045,1340,1053,884,880,1091,1277,1189,1414,1026,857,1046,1057,1398,1269,1519,1124,807,1074,1266,1312,1353,1410,1289,788,955,1303,1467,1599,1719,1356,1105,1560,2057,2093,2326,2485,1895,1288,1383,2118,3047,3260,3359,2720,1676,3217,3822,4312,4278,4596,3278,2116,3824,4462,4753,4541,4613,3223,2634,2310,3911,4473,4404,4576,3160,2029,3524,4048,4107,4040,4049,2482,1673,2761,3300,2741,2404,2317,1616,997,1328,1645,1329,1216,1251,640,322,713,338
02,AR,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,2,1,0,0,2,3,1,1,2,2,0,3,6,8,14,8,14,11,15,22,37,37,52,66,80,115,107,127,163,159,168,168,241,178,164,265,193,190,166,213,147,136,131,116,157,128,108,95,96,125,108,111,103,83,63,55,83,53,79,63,69,57,44,45,132,100,28,24,33,21,67,127,39,39,15,21,18,36,44,43,35,14,4,8,6,17,21,23,16,8,8,20,23,15,11,14,11,7,12,12,14,9,13,5,8,9,17,7,9,6,6,5,6,12,2,6,4,4,3,7,11,7,17,25,29,42,57,48,65,48,21,54,18,25,37,36,21,46,31,37,77,90,76,91,129,154,130,232,291,358,298,399,334,341,430,457,466,393,449,375,385,574,515,529,492,499,830,447,460,535,430,522,551,502,297,565,380,435,410,438,378,298,342,398,341,339,279,292,196,263,292,258,224,293,263,195,323,293,270,330,315,331,255,333,374,368,342,447,380,363,359,372,355,409,352,343,242,356,310,304,359,343,300,299,326,346,310,369,403,337,331,417,486,511,487,546,527,467,460,571,723,772,851,711,712,1036,1101,1090,1047,1080,1004,950,1098,1031,931,942,1008,891,716,826,875,835,759,793,725,458,621,570,567,512,500,350,316,389,354,444,305,328,267,176,276,278,262,306,283,279,141,126,215
03,AS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,2,3,2,2,5,12,12,14,32,52,43,57,70,81,89,106,80,91,101,83,68,75,70,58,57,77,70,53,40,45,42,29,54,38,45,43,41,45,48,43,57,53,23,32,30,40,12,12,9,6,7,16,8,9,17,3,5,5,10,3,10,2,3,3,4,4,4,3,3,3,1,4,0,2,2,4,1,4,0,0,1,1,1,1,2,1,2,0,0,13,4,3,0,0,1,0,2,2,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,3,0,0,2,2,1,1,1,2,1,2,2,4,3,8,7,6,13,15,12,12,17,11,12,19,38,39,28,23,35,26,27,26,17,22,29,24,22,30,29,32,33,36,43,51,39,36,37,45,31,47,37,64,56,88,36,53,30,50,49,68,51,72,64,74,90,89,75,97,81,68,77,119,145,72,67,63,58,134,82,140,115,105,89,115,116,125,225,234,163,145,186,189,198,213,277,259,208,181,270,325,383,303,248,242,345,409,443,418,290,202,242,289,435,585,558,290,468,295,524,608,673,801,443,247,296,379,452,328,348,335,251,228,385,256,301,258,152,195,139,233,7,8,1
06,CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,1,0,0,0,0,9,12,17,9,3,17,36,54,59,68,71,76,89,177,143,99,84,88,57,57,39,74,68,39,28,33,72,53,34,62,25,28,13,26,23,29,24,46,35,14,17,18,27,13,15,24,10,26,26,13,12,4,2,5,5,12,16,0,3,1,6,1,0,2,3,2,10,8,2,2,2,4,0,3,2,0,3,1,2,2,1,4,2,1,3,2,1,4,2,0,1,2,0,3,1,0,1,3,2,1,2,1,2,3,5,0,3,2,1,2,2,0,3,2,0,0,1,1,0,3,0,2,0,1,2,1,1,1,2,1,2,4,5,3,12,5,9,5,7,8,6,9,7,6,8,10,26,16,38,23,41,49,32,45,44,43,28,43,74,52,45,58,57,63,61,80,58,68,81,85,64,75,85,85,71,144,80,121,147,156,106,71,79,102,159,148,106,124,113,75,89,133,53,111,72,64,64,57,61,64,53,58,26,66,34,44,40,50,42,64,35,40,36,31,61,65,46,63,59,59,70,117,169,67,89,139,194,154,184,172,157,137,171,174,169,164,209,166,238,220,188,267,238,187,236,224,244,238,223,202,204,155,217,253,208,176,154,157,104,121,112,113,101,115,94,95,98,184,9,3,0
18,CE,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,3,1,6,4,2,6,5,6,5,7,7,7,9,8,9,5,2,5,7,5,2,8,2,2,2,2,3,2,1,3,1,2,0,2,0,0,1,1,1,0,1,2,3,3,1,1,0,1,2,4,0,1,2,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,2,3,1,1,0,5,2,5,1,2,5,2,3,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,2,1,2,4,2,4,9,8,1,15,7,0,4,7,12,6,10,11,8,6,4,7,10,14,9,8,5,9,6,11,6,15,4,9,19,7,5,12,10,7,10,19,11,9,20,21,14,18,21,25,14,31,20,13,24,23,17,17,29,20,24,34,24,30,22,20,35,45,43,40,42,41,66,44,46,56,51,57,49,69,65,75,70,62,49,68,54,56,54,51,55,41,32,31,39,24,30,19,21,25,38,32,26,19,16,19,13,10,9,10,16,8,7,1,8,6
07,CL,0,0,1,1,1,1,0,1,0,0,1,1,2,3,1,0,0,0,1,1,3,5,2,5,5,6,8,7,11,10,31,44,30,35,55,56,83,79,165,212,257,340,498,514,526,759,720,806,854,933,760,701,758,655,688,546,518,522,421,493,391,556,513,566,564,389,591,425,502,535,554,480,325,511,456,340,296,202,168,217,258,277,253,212,290,138,105,131,322,243,235,333,341,112,89,43,26,26,28,12,12,27,33,54,38,34,29,5,31,34,26,39,41,15,11,35,46,25,44,45,37,19,27,18,26,27,35,11,12,35,26,17,16,21,12,6,14,42,18,12,14,18,6,14,29,13,16,15,12,5,11,13,10,9,11,8,3,16,10,15,8,16,13,9,21,20,12,21,18,27,24,35,20,24,45,37,29,31,70,87,76,74,150,91,93,124,205,232,174,256,190,272,239,259,313,325,380,291,304,347,402,410,513,403,280,292,471,514,434,580,528,516,332,343,517,512,611,591,549,550,520,654,637,857,886,648,593,646,832,776,795,881,707,651,643,719,805,858,827,592,392,612,817,797,913,879,559,786,1072,1149,1018,912,899,956,667,1001,1166,1222,1173,1301,1328,1210,1740,1829,1649,1531,1623,1429,1505,1923,2005,1802,1488,1511,1385,1476,1463,1858,1724,1545,1495,1631,1427,1812,1651,1285,1165,1067,1228,986,1091,1071,981,648,722,573,534,617,534,410,357,520,176,107,132,3
08,CM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,5,9,11,15,67,62,48,60,77,100,141,161,208,291,324,454,628,605,774,809,745,791,745,936,623,663,757,647,665,587,509,410,372,523,412,461,366,341,381,462,416,363,365,344,298,155,225,327,233,180,127,145,97,105,142,147,150,88,55,52,95,104,92,69,73,21,16,48,20,11,10,14,7,8,11,31,31,37,27,35,27,13,29,34,27,19,42,31,17,36,36,39,36,31,25,12,24,29,40,37,33,15,12,28,23,21,7,20,7,9,11,21,16,11,11,14,7,12,23,20,20,12,15,13,13,11,19,16,21,13,7,19,15,21,28,26,13,14,17,28,27,26,25,14,10,30,24,43,21,48,27,28,53,61,54,49,74,59,65,80,99,97,118,110,139,118,183,204,211,258,214,203,179,263,285,304,338,383,322,306,400,397,453,500,491,390,348,480,588,657,636,639,571,424,571,628,705,835,714,688,539,715,775,807,786,843,669,493,613,715,734,686,699,568,428,587,501,637,607,612,475,379,609,653,630,639,719,581,405,510,718,768,820,787,544,596,830,944,981,940,1044,751,816,1068,1046,1104,970,866,692,627,970,977,1011,850,890,609,544,722,782,752,637,661,541,342,624,566,509,487,446,328,237,409,411,368,284,289,184,82,96,41
05,CN,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,1,1,1,0,0,2,0,2,7,1,8,6,7,12,9,14,16,25,19,34,47,55,59,73,109,97,91,133,93,117,78,117,86,75,97,63,55,62,71,36,42,51,28,52,34,17,29,17,13,26,16,26,14,14,8,14,13,15,15,8,9,15,16,7,7,5,11,4,2,3,4,4,4,9,5,0,3,2,0,1,1,2,1,3,4,5,2,3,6,1,4,7,4,5,3,1,2,4,3,2,7,7,3,1,4,4,4,1,1,4,1,2,2,1,2,4,2,1,1,3,14,0,1,11,2,0,6,1,1,1,0,0,0,5,7,1,4,4,1,3,4,8,8,3,1,3,6,2,9,4,7,13,53,3,11,8,11,5,13,7,9,9,6,12,16,30,29,38,54,72,77,69,68,89,140,155,183,149,196,210,151,243,233,194,232,247,268,213,290,297,298,306,281,281,276,295,276,257,260,271,240,182,200,202,229,231,194,221,159,167,185,152,167,187,177,147,242,171,126,167,156,164,147,141,160,149,166,150,128,89,123,117,128,136,129,125,101,99,104,106,111,145,108,122,116,133,121,131,90,127,76,123,112,129,118,118,130,131,141,169,126,134,137,123,99,124,123,129,108,121,114,103,102,129,113,95,104,110,97,124,115,127,102,105,119,72,55,58
09,CT,1,8,3,3,4,2,1,3,0,1,3,3,7,9,1,10,6,2,4,1,14,16,11,8,14,22,31,17,36,27,91,84,91,152,175,269,296,331,571,803,762,1033,1366,1327,1376,1714,1568,1685,1610,1899,1458,1311,1512,1416,1326,1387,1256,1329,1042,1202,1132,1288,1065,1210,971,846,817,746,995,1052,1012,1060,667,600,728,752,715,612,453,267,369,200,323,281,271,173,139,147,159,152,190,165,154,139,127,68,52,64,70,57,83,126,137,160,155,208,123,90,194,212,180,217,277,121,133,225,203,154,211,179,94,52,91,108,127,127,171,66,56,111,88,123,108,109,37,44,80,81,96,104,93,85,74,117,123,92,144,200,119,105,180,184,300,247,275,254,251,395,442,486,513,652,411,462,729,683,889,808,981,763,614,1058,1013,1048,1027,1038,655,581,1026,1059,1091,1028,1164,724,480,929,1015,1008,942,1153,701,534,1083,998,1060,1006,1122,783,711,1144,1200,1091,1252,1234,760,696,1299,1163,1266,1234,1223,670,616,1132,1263,1108,1149,1275,752,571,1007,1074,1055,1239,737,817,609,1133,1295,1323,1145,1318,775,721,1350,1177,1189,891,1154,726,651,1310,1407,1388,1652,1728,1027,917,1866,2085,2118,2500,2795,1878,1454,1863,3007,3389,3668,3919,2665,2455,4789,5521,5489,5397,5205,3270,2949,4931,5111,4784,4478,4826,3107,2653,4495,4305,3735,3713,3516,2112,1540,2881,3095,2346,2198,2229,1410,1023,2107,2019,1668,1388,1499,848,705,1313,1186,1125,1009,1221,554,362,979,788
11,EX,0,0,2,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,0,1,1,1,0,0,0,5,1,3,8,4,5,7,9,9,6,20,15,19,38,44,74,87,94,89,86,117,107,127,126,173,131,131,245,160,153,138,109,96,62,107,61,134,76,104,75,53,78,72,83,76,98,71,47,68,87,97,69,101,90,48,49,69,85,84,112,87,24,20,26,59,86,97,58,11,20,41,36,50,33,52,5,9,39,38,23,24,21,5,4,11,14,9,11,7,5,5,13,8,0,8,8,2,4,10,6,4,0,0,4,1,2,1,0,1,1,0,5,2,7,4,2,1,5,1,6,1,4,0,5,3,6,7,9,4,8,4,6,2,16,6,23,45,18,12,13,3,13,22,5,5,6,9,17,6,4,11,4,7,9,21,17,20,38,18,20,21,16,35,32,46,20,10,27,34,72,64,47,30,38,53,80,98,82,90,90,69,80,109,97,85,138,105,123,101,119,145,175,145,146,124,134,130,214,226,211,192,178,250,234,297,288,316,194,185,213,217,206,271,164,145,123,154,193,184,194,167,133,140,182,212,181,224,237,212,181,202,260,310,317,310,364,259,352,462,470,478,483,449,359,535,474,489,575,507,382,382,427,406,468,479,400,297,295,342,343,368,302,237,258,122,201,241,207,194,170,160,119,222,185,146,144,119,139,50,69,42
