CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
46001;Ademuz; 13; 1247,6; 0; 0,0; 0; 0,0
46002;Ador; 8; 530,5; 0; 0,0; 1; 66,31
3001;Adsubia; 1; 158,23; 0; 0,0; 0; 0,0
3002;Agost; 49; 1029,84; 13; 273,22; 1; 21,02
3003;Agres; 0; 0,0; 0; 0,0; 0; 0,0
46004;Agullent; 18; 746,89; 0; 0,0; 3; 124,48
46042;Aielo de Malferit; 22; 476,4; 4; 86,62; 0; 0,0
46043;Aielo de Rugat; 0; 0,0; 0; 0,0; 0; 0,0
3004;Aigües; 4; 415,37; 0; 0,0; 0; 0,0
46005;Alaquàs; 340; 1150,16; 42; 142,08; 10; 33,83
46006;Albaida; 31; 525,42; 3; 50,85; 0; 0,0
46007;Albal; 111; 676,87; 37; 225,62; 1; 6,1
46008;Albalat de la Ribera; 27; 803,57; 7; 208,33; 0; 0,0
46009;Albalat dels Sorells; 41; 1030,93; 3; 75,43; 0; 0,0
46010;Albalat dels Tarongers; 17; 1379,87; 3; 243,51; 1; 81,17
3005;Albatera; 159; 1294,89; 27; 219,89; 1; 8,14
46011;Alberic; 108; 1026,03; 11; 104,5; 1; 9,5
12003;Albocàsser; 25; 2014,5; 0; 0,0; 2; 161,16
46012;Alborache; 44; 3793,1; 0; 0,0; 9; 775,86
46013;Alboraya; 222; 907,83; 29; 118,59; 4; 16,36
46014;Albuixech; 46; 1145,13; 10; 248,94; 8; 199,15
3006;Alcalalí; 3; 234,74; 2; 156,49; 0; 0,0
12004;Alcalà de Xivert; 33; 494,01; 2; 29,94; 0; 0,0
3007;Alcocer de Planes; 2; 869,57; 1; 434,78; 0; 0,0
3008;Alcoleja; 0; 0,0; 0; 0,0; 0; 0,0
12005;Alcora (l'); 77; 740,03; 18; 172,99; 2; 19,22
3009;Alcoy/Alcoi; 460; 779,74; 75; 127,13; 81; 137,3
46018;Alcublas; 0; 0,0; 0; 0,0; 0; 0,0
12006;Alcudia de Veo; 3; 1578,95; 0; 0,0; 1; 526,32
46016;Alcàntera de Xúquer; 15; 1161,89; 0; 0,0; 2; 154,92
46015;Alcàsser; 59; 587,71; 7; 69,73; 4; 39,84
46019;Alcúdia (l'); 152; 1265,72; 39; 324,76; 0; 0,0
46020;Alcúdia de Crespins (l'); 42; 814,43; 0; 0,0; 0; 0,0
46021;Aldaia; 260; 815,97; 28; 87,87; 3; 9,42
46022;Alfafar; 363; 1737,67; 49; 234,56; 9; 43,08
3010;Alfafara; 2; 487,8; 1; 243,9; 0; 0,0
46024;Alfara de Algimia; 3; 538,6; 0; 0,0; 0; 0,0
46025;Alfara del Patriarca; 15; 453,17; 1; 30,21; 1; 30,21
46026;Alfarp; 13; 841,97; 0; 0,0; 1; 64,77
46027;Alfarrasí; 2; 163,27; 0; 0,0; 0; 0,0
46023;Alfauir; 1; 228,83; 0; 0,0; 0; 0,0
12007;Alfondeguilla; 2; 230,95; 0; 0,0; 0; 0,0
3011;Alfàs del Pi (l'); 105; 512,65; 10; 48,82; 5; 24,41
46028;Algar de Palancia; 3; 623,7; 0; 0,0; 0; 0,0
46029;Algemesí; 230; 841,54; 54; 197,58; 7; 25,61
46030;Algimia de Alfara; 2; 197,82; 0; 0,0; 0; 0,0
12008;Algimia de Almonacid; 0; 0,0; 0; 0,0; 0; 0,0
46031;Alginet; 105; 784,75; 33; 246,64; 1; 7,47
3012;Algorfa; 10; 340,72; 1; 34,07; 0; 0,0
3013;Algueña; 10; 748,5; 1; 74,85; 0; 0,0
3014;Alicante/Alacant; 3588; 1071,41; 401; 119,74; 96; 28,67
12009;Almazora/Almassora; 249; 947,85; 35; 133,23; 3; 11,42
12010;Almedíjar; 0; 0,0; 0; 0,0; 0; 0,0
12011;Almenara; 31; 516,84; 3; 50,02; 4; 66,69
46033;Almiserà; 1; 381,68; 0; 0,0; 0; 0,0
46034;Almoines; 10; 414,25; 1; 41,43; 0; 0,0
3015;Almoradí; 195; 937,36; 36; 173,05; 2; 9,61
3016;Almudaina; 0; 0,0; 0; 0,0; 0; 0,0
46035;Almussafes; 61; 680,27; 5; 55,76; 0; 0,0
46032;Almàssera; 74; 1006,94; 10; 136,07; 1; 13,61
46036;Alpuente; 3; 473,93; 0; 0,0; 0; 0,0
3017;Alqueria d'Asnar (l'); 16; 3245,44; 1; 202,84; 1; 202,84
46037;Alqueria de la Comtessa (l'); 13; 880,76; 5; 338,75; 1; 67,75
12901;Alquerías del Niño Perdido; 20; 449,54; 5; 112,38; 2; 44,95
3018;Altea; 118; 529,39; 5; 22,43; 5; 22,43
12012;Altura; 17; 481,86; 3; 85,03; 0; 0,0
46017;Alzira; 389; 877,07; 73; 164,59; 8; 18,04
46038;Andilla; 1; 313,48; 1; 313,48; 0; 0,0
46039;Anna; 8; 304,41; 1; 38,05; 4; 152,21
46040;Antella; 10; 851,06; 0; 0,0; 5; 425,53
46041;Aras de los Olmos; 1; 262,47; 0; 0,0; 0; 0,0
12013;Arañuel; 0; 0,0; 0; 0,0; 0; 0,0
12014;Ares del Maestrat; 0; 0,0; 0; 0,0; 0; 0,0
12015;Argelita; 0; 0,0; 0; 0,0; 0; 0,0
12016;Artana; 9; 462,25; 0; 0,0; 0; 0,0
3019;Aspe; 120; 579,32; 20; 96,55; 1; 4,83
46003;Atzeneta d'Albaida; 0; 0,0; 0; 0,0; 0; 0,0
12001;Atzeneta del Maestrat; 2; 156,74; 0; 0,0; 0; 0,0
46044;Ayora; 96; 1807,23; 13; 244,73; 9; 169,43
12017;Ayódar; 1; 628,93; 0; 0,0; 0; 0,0
12018;Azuébar; 2; 634,92; 1; 317,46; 0; 0,0
12002;Aín; 0; 0,0; 0; 0,0; 0; 0,0
3020;Balones; 0; 0,0; 0; 0,0; 0; 0,0
3021;Banyeres de Mariola; 100; 1414,83; 5; 70,74; 2; 28,3
12020;Barracas; 5; 3086,42; 1; 617,28; 0; 0,0
46046;Barx; 16; 1252,94; 0; 0,0; 0; 0,0
46045;Barxeta; 5; 312,3; 0; 0,0; 0; 0,0
12022;Bejís; 0; 0,0; 0; 0,0; 0; 0,0
46048;Bellreguard; 33; 716,15; 7; 151,91; 0; 0,0
46049;Bellús; 4; 1315,79; 0; 0,0; 0; 0,0
12024;Benafer; 0; 0,0; 0; 0,0; 0; 0,0
12025;Benafigos; 0; 0,0; 0; 0,0; 0; 0,0
46051;Benaguasil; 97; 882,78; 7; 63,71; 0; 0,0
46050;Benagéber; 1; 520,83; 0; 0,0; 0; 0,0
12026;Benasal; 12; 1123,6; 0; 0,0; 0; 0,0
3022;Benasau; 0; 0,0; 0; 0,0; 0; 0,0
46052;Benavites; 4; 646,2; 1; 161,55; 1; 161,55
3023;Beneixama; 7; 415,43; 0; 0,0; 1; 59,35
46053;Beneixida; 0; 0,0; 0; 0,0; 0; 0,0
3024;Benejúzar; 61; 1129,21; 16; 296,19; 4; 74,05
46054;Benetússer; 225; 1520,37; 38; 256,77; 4; 27,03
3025;Benferri; 15; 772,4; 3; 154,48; 0; 0,0
3026;Beniarbeig; 10; 478,01; 0; 0,0; 0; 0,0
3027;Beniardá; 0; 0,0; 0; 0,0; 0; 0,0
46055;Beniarjó; 17; 963,17; 1; 56,66; 0; 0,0
3028;Beniarrés; 16; 1431,13; 12; 1073,35; 0; 0,0
46056;Beniatjar; 2; 896,86; 2; 896,86; 0; 0,0
12027;Benicarló; 238; 884,36; 25; 92,9; 3; 11,15
12028;Benicasim/Benicàssim; 168; 923,48; 33; 181,4; 5; 27,48
46057;Benicolet; 4; 702,99; 0; 0,0; 0; 0,0
46904;Benicull de Xúquer; 0; 0,0; 0; 0,0; 0; 0,0
3030;Benidoleig; 6; 547,95; 0; 0,0; 0; 0,0
3031;Benidorm; 1055; 1535,19; 32; 46,57; 71; 103,32
46059;Benifairó de la Valldigna; 13; 827,5; 11; 700,19; 0; 0,0
46058;Benifairó de les Valls; 13; 594,69; 5; 228,73; 0; 0,0
46060;Benifaió; 189; 1580,0; 67; 560,11; 1; 8,36
